Les étudiant(e)s d'informatiques face à la situation sanitaire																																				
Détails de la soumission																																				
Séquentiel	Vous êtes 	En quelle année êtes-vous ?	Dans quelle filière étudiez-vous ?	Vous sentez-vous épanoui(e) dans vos études ?	Avez-vous ressenti une baisse de motivation au cours de ces derniers mois ?	Avez-vous ressenti l'envie d'arrêter vos études? 	Avez-vous consulté un(e) psychologue ou un(e) psychiatre suite à des difficultés liées à la situation sanitaire ?	Si vous-même demain, étiez concerné(e) par l’apparition d’un trouble mental, et que vous ressentiez le besoin de consulter et d’être pris(e) en charge, sauriez-vous à qui vous adresser ?	Vous sentez-vous isolé(e) socialement ?	Selon vous, le bien-être des étudiant(e)s est-il mis de côté ? 	Un sentiment de nervosité, d’anxiété ou de tension	Une tendance à être facilement contrarié(e) ou irritable	Des difficultés à se détendre	Une inquiétude excessive à propos de différentes choses	Une incapacité à arrêter de s’inquiéter ou à contrôler ses inquiétudes	Une agitation telle qu’il est difficile de tenir en place	Un sentiment de peur comme si quelque chose de terrible risquait de se produire	Vous sentir fatigué(e) ou avoir peu d’énergie 	Difficultés à vous endormir, à rester endormi ou trop dormir	Vous sentir triste, déprimé(e) ou désespéré(e)	Avoir peu d'appétit ou trop d'appétit	Peu d'intérêt ou de plaisir à faire les choses	Mauvaise perception de vous-même, vous pensez que vous êtes un(e) perdant(e) ou que vous n'avez pas satisfait vos propres attentes ou celles de votre famille	Difficultés à vous concentrer sur des choses telles que lire le journal ou regarder la télévision	Vous bougez ou vous parlez si lentement que les autres personnes ont pu le remarquer. Ou, au contraire, vous êtes si agité(e) que vous bougez beaucoup plus que d'habitude	Vous avez pensé que vous seriez mieux mort(e) ou vous avez pensé à vous blesser d'une façon ou d'une autre	Considérez-vous que les modalités d’enseignement actuelles permettent une formation correcte ?	Des remarques par rapport aux méthodes d'enseignement actuelles ?	Des pistes pour l'amélioration des méthodes d'enseignement ?	Etes-vous favorable à une réouverture des facultés et des amphithéâtres ?	Si les facs réouvraient 1 jour par semaine, seriez-vous en mesure de vous rendre en cours en présentiel ? 	Avez-vous dû changer de logement à cause de la situation sanitaire ?	Vous pouvez nous écrire un témoignage concernant votre logement ici	Avez-vous bénéficié d'une aide alimentaire avant le premier confinement ?	Avez-vous eu besoin d'une aide alimentaire depuis le début de la crise sanitaire ?	Si vous souhaitez nous laisser un petit mot ou témoigner de votre situation pour que l'on puisse le remonter aux enseignant(e)s, c'est ici :
34	Une femme	L3	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Oui beaucoup	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Non pas trop	"Certains profs ne mettent rien en place de special, on a limite l'impression qu'ils sont en vacances. Et certaines solutions ne sont vraiment pas adaptées comme les ""questions/reponses"". Apres certains profs ont quand meme fait beaucoup d'efforts comme des videos etc."	Avoir des profs plus presents qui nous explique vraiment les choses plutot que de juste repondre a 2/3 questions de temps en temps. Et des corrections pour au moins comprendre ce qui nous etait demandé.	Oui pour la totalité des cours	Oui	Non	Colocation dans un appart assez petit mais avec chacune notre chambre, tres peu lumineux donc ca n'aide pas pour le moral...	Non	Non	"Je pense que de maniere generale on en peut un peu tous plus. A chaque fois qu'on a l'impression de remonter a la surface finalement ce n'est pas le cas parce qu'on nous rajoute des choses. On est mentalement epuisés et on ne peut meme pas vraiment voir nos amis pour decompresser. On a pas eu de vraies vacances depuis la tout saint a causes de tous les projets et des examens et on ne va pas en avoir en fevrier donc pas de pause de octobre a avril c'est tres long. Et on a l'impression d'etre mis de coté que le gouvernement le se preocupe pas de nous, ils promettent des choses (comme le un jour en presentiel) et au final les fac ne peuvent pas les mettre en place donc c'est des faux espoirs...
PS: desolée pour l'orthographe je fais ca vite fait mais je pense qu ec'est important, donc merci de faire ca."
35	Un homme	L2	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Ne souhaite pas répondre	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop	J'ai pris pas mal de temps à être au courant que les enseignements se poursuivait en ligne durant les semestres passé (beaucoup plus au 2nd semestre de L1 qu'au 1er semestre de L2) et ça a fait que j'ai fini avec une charge de travail beaucoup trop importante a quelque semaines avant les examens.	De bons progrès ont déjà été fait. J'aimerais que la communication entre élèves soit beaucoup plus facilité. Beaucoup d'élèves (comme moi avant que je rejoigne les serveurs discord) sont surement dans leur coin et n'ont pas un cercle de contact au sein de l'université et les laisser comme ça peut grandement jouer au niveau de leur motivation. Mettre en avant les serveurs discord des filières serait une bonne idée.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
36	Une femme	M2	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Non pas trop	Oui beaucoup	Presque tous les jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Non pas du tout	Je ne sais pas quel être humain normalement constitué est capable de suivre un cours de 16h à 19h, face à un écran où défile un powerpoint sur un fond de voix monotone. Un an de distanciel et aucune adaptation de la part de la fac et des enseignants. Aucune interactivité, impossible de rester concentré.	"Nous obliger à mettre les cameras et les micro (je pense que c'est vraiment indispensable).
Mettre en place des solutions interactives comme des quiz (pas des quiz sur word à rendre à la fin, des questions au fur à mesure du cours, on pourrait cliquer directement sur l'ecran, il y a des plugins pour ça, comme sur twitch) qui nous pousseraient à suivre.
Eviter de nous balancer des slides et les lire pendant 15min. On sait lire."	Oui pour la totalité des cours	Oui	Non		Non	Non	"Je sais que la situation est difficile et inédite pour les enseignants également. Seulement après un an de crise, il est désolant de remarquer que très peu de solutions ont été mises en place. Ecouter quelqu'un parler pendant 3h en fin d'après-midi, pendant que lui ne vous voit pas, c'est intenable. L'interaction est inexistante, aussi bien avec les enseignants qu'entre étudiants. Alors oui, tout les enseignants nous invitent à les couper via le micro, mais pour les plus introvertis d'entre nous, sans visuel préalable ce n'est même pas envisageable.  Nous pousser à activer les caméras serait, je pense, un bon début.
Merci de votre initiative."
37	Un homme	M2	Informatique et Mathématiques	3	Non	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Oui plutôt		"Que l'ensemble de informations soient transmises à l'ensemble des étudiants concernés via les vois officielles et non de manière informelle à un sous-ensemble des-dits étudiants.

Que les liens vers les conférences en lignes soient toujours disponibles sur Moodle et non que l'on aie à les chercher dans des recoins obscurs de l'Internet (C'est déjà le cas pour la majorité des cours, mais il y a des instances où ce n'est toujours pas le cas)"	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Ça va, je fais partis des privilégiés.	Non	Non	
38	Une femme	L1	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
39	Une femme	L2	Informatique	1	Oui beaucoup	Oui	Non	Non, pas du tout	Non pas trop	Oui beaucoup	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
40	Un homme	M2	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Oui beaucoup	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Ne souhaite pas répondre	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Non pas trop			Oui pour la totalité des cours	Ne sait pas encore	Oui une fois		Non	Non	
41	Une femme	L3	Informatique	4	Oui un peu	Oui	Non	Oui, tout à fait	Non pas du tout	Oui plutôt	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Presque tous les jours	Jamais	Plusieurs jours	Presque tous les jours	Jamais	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Non		Non	Non	
42	Un homme	L3	Informatique	3	Oui beaucoup	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
43	Une femme	L2	Informatique/japonais	3	Oui beaucoup	Oui	Non	Non, pas du tout	Non pas trop	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plusieurs jours	Non pas trop	"Moins d’interaction qu'en présentiel, peu ""attractif"" (simple lecture des slides, lecture du sujet de TD/TP puis plus de parole pendant le reste du cours). Cela dépend après du professeur évidement. Mais le semestre dernier avec mes profs de TD/TP étaient assez difficile à suivre en distanciel"	"Cours plus interactif : sondage sur zoom, activité sur kahoot (en CM de AAL [L2], on avait droit à des qcm de fin de séance pour revoir les points abordés, avec des explications sur les erreurs fréquentes)

Cours plus attractives : des schémas sur diapositive, petits exercices (comme kahoot déjà cité) entre deux notions pour améliorer la participation (même TD/TP). Les exercices de TP en même temps que le prof : on lit les énoncés, les élèves proposent leur idée, puis on explique les fautes.

Mettre les diapositives avant le CM : cela pourrait permettre aux élèves s'approprier le cours avant le CM, puis de poser des questions (c'est un format que l'on adopté dans certains cours de Japonais), puis comme proposé plus haut, avoir des mini-exercice, on peut aussi l'appliquer pour les TD. De plus, avec les soucis de connexion, venant d'élèves comme de professeur, avoir le cours déjà en tête plutôt que de le découvrir avec la moitié des mots avalée par la mauvaise connexion serait un peu plus bénéfique.

"	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
44	Un homme	L1	Informatique	2	Oui beaucoup	Non	Non	Non, pas du tout	Oui plutôt	Oui plutôt	Plus de la moitié du temps	Jamais	Presque tous les jours	Jamais	Jamais	Plusieurs jours	Jamais	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Non pas trop	Distanciel	Presentiel	Oui pour la totalité des cours	Oui	Non		Non	Non	
45	Un homme	L2	Informatique	3	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui beaucoup	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
46	Un homme	L2	Informatique	4	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui beaucoup	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
47	Une femme	M1	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Non pas trop	Plusieurs jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Ne souhaite pas répondre	Je trouves que tout dépend de l'organisation du professeur : dans certaines matières, le suivi continu, les cours sont corrects et les professeurs s'adapte assez bien aux outils de communications. En revanche, dans d'autres cours, certains professeurs ne font quasiment plus cours du tout, ils ne proposent pas de cours en visio, ni de vidéo, ni même de vrai poly de cours... 	"Permettre aux élèves de connaître leur notes pour situer leur niveau dans les matières (et ne pas avoir à attendre 3/4 mois pour recevoir les résultats d'un partiel...) 
Publier les slides des cours si il y en a (ou mieux :  des vidéos, des rediffusions de cours en lignes) 
Pour les TP : donner les corrections (si possible, pas seulement oralement, car un peu compliqué quand c'est du code par exemple) "	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	Personnellement, je n'ai pas à me plaindre vis à vis de mon logement et du matériel que j'ai à disposition. 
48	Un homme	L1	Informatique	1	Oui beaucoup	Oui	Non	Oui, tout à fait	Oui plutôt	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Presque tous les jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Non	Non		Non	Non	
49	Une femme	L2	Informatique	5	Oui beaucoup	Non	Non	Non, plutot pas	Oui beaucoup	Oui beaucoup	Plusieurs jours	Ne souhaite pas répondre	Plusieurs jours	Presque tous les jours	Jamais	Jamais	Jamais	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Ne souhaite pas répondre	Non pas trop		Le microoooo !! Faut que la fac achète des micros à ses enseignants svp svp !! C’est énervant et j’arrive pas à suivre correctement it disturbs me 	Oui pour la totalité des cours	Ne sait pas encore	Non		Non	Oui	
50	Une femme	L3	Informatique	2	Oui beaucoup	Oui	Non	Non, pas du tout	Oui beaucoup	Oui plutôt	Plusieurs jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Jamais	Non pas du tout	Tous les professeurs ne sont pas coopératifs vis-à-vis de l'enregistrement des cours, certains trouvent cela inutile, même pour les élèves ayant des difficultés à suivre le cours au moment où celui-ci a lieu.	Adapter la difficulté et le nombre de projets, DM et contrôles, et mieux les répartir sur l'année afin de ne pas nous surcharger de travail au moment des exams.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Il y a bien souvent de gros travaux juste devant, ainsi que des fêtards qui malgré confinement et couvre-feu restent devant jusqu'à très tard ce qui m'empêche de dormir. 	Non	Non	Mentalement c'est très dur pour tout le monde, ne pas pouvoir voir ses amis, ne pas pouvoir sortir, voir les gens autour de nous partir. Comme beaucoup, je ne suis plus en capacité de travailler et faire comprendre à mes proches que j'ai besoin de voir un spécialiste pour m'aider est presque impossible. Nous ne sommes pas des robots, même si en L3 on doit beaucoup plus travailler, dans la situation actuelle il n'est pas envisageable de donner autant que les autres années scolaires. 
51	Un homme	M1	Informatique	4	Oui un peu	Non	Non	Non, pas du tout	Non pas trop	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Jamais	Jamais	Non pas trop		Pas assez d'enseignants enregistrent et mettent à disposition les cours pour que chacun puisse quand il le peut suivre. 	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	En ces temps difficiles, il est difficile de rester motivé, et donc de l'être en même temps que les cours. J'aimerais pouvoir lorsque je me sens bien travailler, et pas devoir me sentir bien lorsqu'il faut travailler. Je sais que ce n'est pas agréable pour un professeur de faire un cours devant très peu d'élèves, mais il est encore plus désagréable de rater sa scolarité. Il y a d'ailleurs sûrement des solutions pour que tout le monde soit content. Organiser des '' assemblées générales '' entre les étudiants et les représentants de la fac où chacun pourra parler, où des votes pourraient être proposés.
52	Une femme	L2	Informatique	5	Oui un peu	Non	Non	Oui, tout à fait	Non pas du tout	Oui beaucoup	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop	"Y'a des profs biens qui font des cours interactifs et intéressants : ex avec des quizz, des tablettes pour écrire comme au tableau... et c'est cool
Y'en a qui ne font que lire leurs slides et c'est affreux, encore plus quand leur connection est pourrie"	Faire des pauses (pas 2 heures en distanciel sans pause); faire des quizzs au milieu, faire gaffe à avoir une bonne connection si possible, bien communiquer par mail ou discord pour que les étudiants sachent ce qu'il se passe.	Non	Oui	Non		Non	Non	
53	Un homme	L2	Informatique	3	Oui un peu	Non	Non	Non, plutot pas	Non pas trop	Oui plutôt	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Ne souhaite pas répondre	Non	Non		Non	Non	
54	Une femme	L2	Informatique	5	Oui beaucoup	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
55	Un homme	M1	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Non pas trop	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Oui plutôt			Non	Oui	Non		Non	Non	
56	Un homme	M2	Informatique	3	Oui un peu	Non	Non	Non, pas du tout	Oui beaucoup	Ne souhaite pas répondre	Plusieurs jours	Jamais	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Ne souhaite pas répondre	Jamais	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
57	Une femme	L1	Biologie-Informatique	4	Oui beaucoup	Non	Non	Non, plutot pas	Oui beaucoup	Oui beaucoup	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Non pas du tout	"Les étudiant(e)s sont isolé(e)s et livré(e)s à eux/elles-mêmes tous les jours. Le sentiment de solitude est omniprésent et il est difficile de se concentrer sur autre chose, surtout lorsque les cours sont en distanciel. 
Ces derniers sont pour la plupart assez mal gérés, à la fois pour les professeur(e)s et les étudiant(e)s. Il est difficile de concilier un environnement calme de travail avec des appareils qui fonctionnent et de rester concentré(e) pendant les 2h complètes, d’autant plus lorsqu’il y a des journées avec plus de 8h de CM d’affilé en visioconférence. De plus, il nous arrive fréquemment de découvrir des devoirs à rendre ou des examens sur moodle sans êtres prévenu(e)s directement par les enseignants. 
Enfin, nous obtenons toutes les informations bien trop tard... Entre les changements d’emplois du temps et la dualité distanciel/présentiel, nous sommes prévenus au mieux, 2 jours avant le dit cours, au pire, la veille au soir.
Ce caractère imprévisible est très mal vécu par l’ensemble des étudiant(e)s."	"- Privilégier les cours en direct ou des créneaux dits de « FAQ » (sur discord par exemple) afin de favoriser l’échange direct entre les enseignant(e)s et les étudiant(e)s qui sont jusque maintenant, obligé(e)s d’échanger mails sur mails. 
- Éventuellement, augmenter les travaux de groupe ou les discussions entre étudiant(e),s afin d’éviter l’isolement et les éventuels décrochages scolaires
- Prévenir directement sur boîte mail étudiante l’ajout de devoirs ou d’examens
- Instaurer des pauses entre les visioconférences (les 15 minutes déjà accordées correspondent en réalité à 5 min car les enseignant(e)s débordent souvent sur leurs horaires)
- Obtenir les informations relatives aux changements d’emploi du temps, en temps et en heure (même lorsque les informations peuvent changer du tout au tout) car certain(e)s d’entre nous doivent prévoir le déplacement jusqu’en région parisienne. "	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Concernant certain(e)s de mes camarades, des déménagements pour prévenir les risques de contagion éventuelle ont été forcés impliquant alors leur isolement (et leur impuissance) face au contexte actuel. 	Non	Non	Nous sommes conscient(e)s que toute l’équipe pédagogique fait de son mieux pour accompagner au maximum les étudiant(e)s mais nous tenons quand même à vous faire parvenir la détresse psychologique de la majorité d’entre nous lié à la grave imprévisibilité de la situation actuelle. 
58	Un homme	M1	Math-Info	3	Oui beaucoup	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
59	Un homme	M2	Informatique	4	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Non pas trop	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Ne souhaite pas répondre	Non pas trop			Non	Oui	Non		Non	Non	
60	Une femme	L3	Mathematique-Informatique	4	Oui un peu	Oui	Non	Non, plutot pas	Non pas trop	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
61	Un homme	L1	Informatique	1	Oui un peu	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
62	Un homme	M2	Informatique	2	Oui beaucoup	Oui	Non	Non, pas du tout	Oui plutôt	Oui beaucoup	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Presque tous les jours	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Oui une fois		Non	Non	Bon courage
63	Une femme	M1	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	"Il est vraiment extrêmement difficile de pouvoir rester motivé et concentré. Jai vu beaucoup d’étudiants abandonner leurs cours.
Je sais même pas si vous pouvez y faire quelques  choses, je sais que vous subissez les mesures comme nous.
Mais il est important que vous sachiez que suivre à la maison c’est pas facile. Entre ceux en petits appartement seul ou ceux qui habite chez leurs parents et qui se retrouvent soit en cours soit au milieu d’histoire familiales c’est juste usant.

Le présentiel me permettait de m’échapper un peu de chez moi, de rencontrer des étudiants mais surtout me donnais envie de réussir et la perceptive d’un beau futur possible façonné par moi-même.

On se dépense plus du tout, du coup dormir c’est très compliqué puisqu’on a pas sommeil. Gros mal être physique en plus de moral.

J’aimerai aussi dire que je ne trouve pas ça cool que les profs puissent être aussi strict sur des deadlines de rendus alors qu’ils ne le sont pas eux même face à la correction de ces mêmes rendu. "
64	Un homme	L2	Informatique	3	Oui un peu	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Plus de la moitié du temps	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Oui une fois		Non	Non	
65	Ne souhaite pas répondre	M2	Informatique	4	Oui beaucoup	Oui	Non	Oui, tout à fait	Non pas trop	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Jamais	Presque tous les jours	Jamais	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Oui plusieurs fois		Non	Non	"j'ai la ""chance"" de pouvoir avoir des petits boulots en ce moment, mais du coup certains jours je ne peux pas suivre les cours en direct. Donc c'est super quand les enseignant.e.s nous laissent des vidéos/enregistrements que je peux regarder à un autre moment. Et ça rend vraiment les cours difficiles à suivre si je n'ai qu'un pdf pour rattraper après..."
66	Un homme	L2	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
